datum,tijd,DHT11(°C),TMP36(°C),verschilwaarde(°C) 
2025-12-04,10:35:30,24.8,10.131900341963874,14.668099658036127
2025-12-04,10:35:45,24.8,10.776746458231546,14.023253541768455
2025-12-04,10:35:55,24.7,8.842208109428451,15.857791890571548
2025-12-04,10:36:00,24.6,10.776746458231546,13.823253541768455
2025-12-04,10:36:05,24.6,9.164631167562288,15.435368832437714
2025-12-04,10:36:10,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:36:15,24.5,9.164631167562288,15.335368832437712
2025-12-04,10:36:20,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:36:25,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:36:30,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:36:35,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:36:40,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:36:45,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:36:50,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:36:55,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:37:00,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:37:05,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:37:10,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:37:15,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:37:20,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:37:25,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:37:30,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:37:35,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:37:40,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:37:45,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:37:55,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:38:00,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:38:05,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:38:15,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:38:20,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:38:25,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:38:35,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:38:40,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:38:45,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:38:50,24.5,9.164631167562288,15.335368832437712
2025-12-04,10:38:55,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:39:00,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:39:05,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:39:10,24.5,6.262823644357618,18.237176355642383
2025-12-04,10:39:15,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:39:20,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:39:25,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:39:40,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:39:45,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:39:50,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:39:55,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:40:00,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:40:20,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:40:40,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:40:45,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:40:50,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:41:00,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:41:05,24.5,5.940400586223715,18.559599413776283
2025-12-04,10:41:10,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:41:15,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:41:20,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:41:25,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:41:30,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:41:35,24.5,6.262823644357618,18.237176355642383
2025-12-04,10:41:40,24.5,6.90766976062529,17.59233023937471
2025-12-04,10:41:50,24.5,6.585246702491454,17.914753297508547
2025-12-04,10:41:55,24.5,6.262823644357618,18.237176355642383
2025-12-04,10:42:00,24.5,5.940400586223715,18.559599413776283
2025-12-04,10:42:15,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:42:20,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:42:25,24.5,7.55251587689304,16.94748412310696
2025-12-04,10:42:30,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:42:35,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:42:40,24.5,7.230092818759126,17.269907181240875
2025-12-04,10:42:45,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:42:50,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:43:35,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:43:40,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:43:45,24.5,8.197361993160712,16.302638006839288
2025-12-04,10:43:50,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:43:55,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:44:00,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:44:20,24.5,8.519785051294548,15.980214948705452
2025-12-04,10:44:25,24.5,8.842208109428451,15.657791890571549
2025-12-04,10:44:30,24.5,7.874938935026876,16.625061064973124
2025-12-04,10:44:35,24.5,9.164631167562288,15.335368832437712
2025-12-04,10:44:55,24.5,9.164631167562288,15.335368832437712
